Rep	Bloco	Trat	Resp
1	1	1	4.39
1	1	2	3.66
1	1	3	2
1	1	4	1.915
1	1	5	4.69
1	1	6	6.19
1	2	7	4.4
1	2	8	3.69
1	2	9	6.75
1	2	10	6.85
1	2	11	5.86
1	2	12	3.97
1	3	13	4.15
1	3	14	2
1	3	15	4.85
1	3	16	3.82
1	3	17	3.77
1	3	18	2.565
1	4	19	3.61
1	4	20	2.24
1	4	21	4.05
1	4	22	3.36
1	4	23	3.955
1	4	24	0.79
1	5	25	4.24
1	5	26	3.005
1	5	27	3.51
1	5	28	2.94
1	5	29	3.33
1	5	30	4.4
1	6	31	4.085
1	6	32	3.39
1	6	33	3.01
1	6	34	4.475
1	6	35	3.63
1	6	36	5.23
2	1	1	5.385
2	1	7	4.66
2	1	13	5.17
2	1	19	5.7
2	1	25	5.435
2	1	31	4.72
2	2	2	4.94
2	2	8	5.62
2	2	14	5.22
2	2	20	5.23
2	2	26	5.58
2	2	32	4.69
2	3	3	4.96
2	3	9	4.66
2	3	15	5.73
2	3	21	6.14
2	3	27	5.47
2	3	33	6.21
2	4	4	4.04
2	4	10	4.72
2	4	16	5.37
2	4	22	4.68
2	4	28	5.47
2	4	34	5.55
2	5	5	4.29
2	5	11	3.83
2	5	17	4.71
2	5	23	4.92
2	5	29	5.39
2	5	35	5.81
2	6	6	6.48
2	6	12	6.04
2	6	18	3.91
2	6	24	3.97
2	6	30	6.38
2	6	36	6
